ASSERTION	AAEBAAEFAAAAAAAAwGJA
ASSERTION	AAECAAIFAAAAAAAAAAAA
ASSERTION	AAMAARB0cmFuc2Zlci1yZXF1ZXN0AgADBQAAAAAAAABZQA==
RUN	parabank.TransferTest	transfertest	1777157027478	 	3.3.1
REQUEST	85		transfer-request	1777157028540	1777157028985	OK	 
USER	Transfer Test	23	END	1777157028290	1777157028988
USER	Transfer Test	85	END	1777157028328	1777157028988
USER	Transfer Test	78	END	1777157028323	1777157028991
REQUEST	73		transfer-request	1777157028511	1777157028992	OK	 
REQUEST	54		transfer-request	1777157028484	1777157028992	OK	 
USER	Transfer Test	73	END	1777157028322	1777157028994
USER	Transfer Test	54	END	1777157028313	1777157028996
REQUEST	74		transfer-request	1777157028511	1777157029006	OK	 
USER	Transfer Test	74	END	1777157028322	1777157029008
REQUEST	21		transfer-request	1777157028433	1777157029013	OK	 
REQUEST	86		transfer-request	1777157028525	1777157029017	OK	 
USER	Transfer Test	86	END	1777157028330	1777157029021
USER	Transfer Test	21	END	1777157028289	1777157029024
REQUEST	80		transfer-request	1777157028519	1777157029027	OK	 
USER	Transfer Test	80	END	1777157028326	1777157029029
REQUEST	33		transfer-request	1777157028455	1777157029024	OK	 
REQUEST	125		transfer-request	1777157028565	1777157029032	OK	 
REQUEST	49		transfer-request	1777157028475	1777157029034	OK	 
USER	Transfer Test	33	END	1777157028300	1777157029032
USER	Transfer Test	125	END	1777157028347	1777157029033
REQUEST	44		transfer-request	1777157028466	1777157029031	OK	 
REQUEST	68		transfer-request	1777157028505	1777157029039	OK	 
USER	Transfer Test	44	END	1777157028310	1777157029038
USER	Transfer Test	68	END	1777157028322	1777157029040
USER	Transfer Test	49	END	1777157028312	1777157029044
REQUEST	77		transfer-request	1777157028547	1777157029045	OK	 
USER	Transfer Test	77	END	1777157028323	1777157029045
REQUEST	83		transfer-request	1777157028520	1777157029046	OK	 
USER	Transfer Test	83	END	1777157028327	1777157029046
REQUEST	25		transfer-request	1777157028442	1777157029052	OK	 
USER	Transfer Test	25	END	1777157028290	1777157029053
REQUEST	69		transfer-request	1777157028506	1777157029058	OK	 
USER	Transfer Test	69	END	1777157028322	1777157029059
REQUEST	50		transfer-request	1777157028483	1777157029059	OK	 
USER	Transfer Test	50	END	1777157028312	1777157029060
REQUEST	63		transfer-request	1777157028513	1777157029062	OK	 
USER	Transfer Test	63	END	1777157028317	1777157029063
REQUEST	101		transfer-request	1777157028544	1777157029066	OK	 
USER	Transfer Test	101	END	1777157028338	1777157029067
REQUEST	65		transfer-request	1777157028500	1777157029072	OK	 
USER	Transfer Test	65	END	1777157028321	1777157029073
REQUEST	70		transfer-request	1777157028506	1777157029080	OK	 
USER	Transfer Test	70	END	1777157028322	1777157029082
REQUEST	136		transfer-request	1777157028577	1777157029086	OK	 
USER	Transfer Test	136	END	1777157028358	1777157029087
REQUEST	37		transfer-request	1777157028456	1777157029086	OK	 
USER	Transfer Test	37	END	1777157028307	1777157029088
REQUEST	97		transfer-request	1777157028539	1777157029090	OK	 
USER	Transfer Test	97	END	1777157028332	1777157029091
REQUEST	148		transfer-request	1777157028590	1777157029098	OK	 
