ASSERTION	AAMAARFhY2NvdW50LXN0YXRlbWVudAMAAQQAAAAAAADAV0ABAAAAAAAAcKdA
ASSERTION	AAECAAIBAAAAAAAAAPA/
RUN	parabank.AccountStatementTest	accountstatementtest	1777157044010	 	3.3.1
REQUEST	37		account-statement	1777157044697	1777157045337	OK	 
REQUEST	40		account-statement	1777157044708	1777157045338	OK	 
USER	Account Statement Load	40	END	1777157044697	1777157045339
USER	Account Statement Load	37	END	1777157044697	1777157045339
USER	Account Statement Load	146	END	1777157044772	1777157045339
REQUEST	31		account-statement	1777157044713	1777157045340	OK	 
USER	Account Statement Load	47	END	1777157044700	1777157045340
REQUEST	98		account-statement	1777157044742	1777157045342	OK	 
USER	Account Statement Load	31	END	1777157044712	1777157045342
USER	Account Statement Load	98	END	1777157044741	1777157045343
REQUEST	33		account-statement	1777157044696	1777157045341	OK	 
USER	Account Statement Load	33	END	1777157044695	1777157045344
REQUEST	56		account-statement	1777157044705	1777157045339	OK	 
REQUEST	24		account-statement	1777157044691	1777157045345	OK	 
USER	Account Statement Load	56	END	1777157044705	1777157045345
REQUEST	186		account-statement	1777157044791	1777157045347	OK	 
REQUEST	41		account-statement	1777157044698	1777157045349	OK	 
USER	Account Statement Load	186	END	1777157044790	1777157045349
USER	Account Statement Load	41	END	1777157044698	1777157045349
REQUEST	173		account-statement	1777157044785	1777157045350	OK	 
USER	Account Statement Load	24	END	1777157044690	1777157045351
REQUEST	126		account-statement	1777157044754	1777157045351	OK	 
USER	Account Statement Load	126	END	1777157044754	1777157045353
REQUEST	67		account-statement	1777157044720	1777157045354	OK	 
USER	Account Statement Load	173	END	1777157044785	1777157045355
USER	Account Statement Load	67	END	1777157044709	1777157045356
REQUEST	161		account-statement	1777157044777	1777157045355	OK	 
USER	Account Statement Load	161	END	1777157044777	1777157045356
REQUEST	184		account-statement	1777157044808	1777157045357	OK	 
REQUEST	51		account-statement	1777157044712	1777157045357	OK	 
REQUEST	64		account-statement	1777157044709	1777157045360	OK	 
USER	Account Statement Load	51	END	1777157044701	1777157045359
USER	Account Statement Load	184	END	1777157044789	1777157045360
REQUEST	87		account-statement	1777157044721	1777157045359	OK	 
REQUEST	190		account-statement	1777157044792	1777157045362	OK	 
REQUEST	129		account-statement	1777157044755	1777157045364	OK	 
USER	Account Statement Load	87	END	1777157044721	1777157045363
USER	Account Statement Load	190	END	1777157044792	1777157045364
USER	Account Statement Load	129	END	1777157044754	1777157045364
USER	Account Statement Load	64	END	1777157044709	1777157045365
REQUEST	83		account-statement	1777157044720	1777157045363	OK	 
REQUEST	133		account-statement	1777157044766	1777157045367	OK	 
