ASSERTION	AAMAAQxsb2dpbi1ub3JtYWwDAAEEAAAAAAAAwFdAAQAAAAAAAECvQA==
ASSERTION	AAECAAIFAAAAAAAAAAAA
RUN	parabank.LoginTest	logintest	1777156495699	 	3.3.1
USER	Login - 100 Concurrentes	170	START	1777156497403	1777156497403
REQUEST	49		login-normal	1777156497080	1777156497405	OK	 
REQUEST	125		login-normal	1777156497097	1777156497406	OK	 
USER	Login - 100 Concurrentes	49	END	1777156497079	1777156497406
USER	Login - 100 Concurrentes	171	START	1777156497407	1777156497407
REQUEST	106		login-normal	1777156497023	1777156497405	OK	 
USER	Login - 100 Concurrentes	106	END	1777156497020	1777156497408
USER	Login - 100 Concurrentes	172	START	1777156497408	1777156497408
USER	Login - 100 Concurrentes	81	START	1777156497409	1777156497409
REQUEST	124		login-normal	1777156497093	1777156497397	OK	 
REQUEST	56		login-normal	1777156497161	1777156497411	OK	 
USER	Login - 100 Concurrentes	124	END	1777156497087	1777156497411
USER	Login - 100 Concurrentes	173	START	1777156497412	1777156497412
USER	Login - 100 Concurrentes	166	START	1777156497392	1777156497392
USER	Login - 100 Concurrentes	125	END	1777156497096	1777156497415
USER	Login - 100 Concurrentes	169	START	1777156497403	1777156497403
USER	Login - 100 Concurrentes	56	END	1777156497160	1777156497418
USER	Login - 100 Concurrentes	175	START	1777156497425	1777156497425
USER	Login - 100 Concurrentes	82	START	1777156497427	1777156497427
USER	Login - 100 Concurrentes	51	END	1777156497098	1777156497421
USER	Login - 100 Concurrentes	176	START	1777156497428	1777156497428
USER	Login - 100 Concurrentes	83	START	1777156497433	1777156497433
USER	Login - 100 Concurrentes	84	START	1777156497439	1777156497439
REQUEST	132		login-normal	1777156497167	1777156497440	OK	 
REQUEST	59		login-normal	1777156497191	1777156497442	OK	 
USER	Login - 100 Concurrentes	132	END	1777156497166	1777156497442
REQUEST	131		login-normal	1777156497165	1777156497443	OK	 
USER	Login - 100 Concurrentes	177	START	1777156497442	1777156497442
USER	Login - 100 Concurrentes	59	END	1777156497190	1777156497442
USER	Login - 100 Concurrentes	178	START	1777156497443	1777156497443
